initiative_id,initiative_name,business_unit,product_family,region,owner,priority,lifecycle_stage,quarter,checkpoint,planned_revenue,actual_revenue,planned_otd_pct,actual_otd_pct,backlog_days,customer_adoption_pct,gross_margin_pct,budget_utilization_pct,risk_level,revenue_attainment,otd_attainment,backlog_score,adoption_score,margin_score,budget_score,aos_health,execution_score,revenue_variance_pct,otd_variance_pct,status,risk_category,priority_rank,risk_score
INIT-0021,Cadence Initiative 21,Biopharma Consumables,Cadence,APAC,PMM_19,High,Launch,2025Q2,Month1,155327.89,142168.23,95,81.6,75,52.8,40.9,75.2,High,0.915,0.859,0.167,0.528,0.818,0.504,0.702,0.513,-8.472181010119948,-13.400000000000006,Red,High,238,37.68
INIT-0040,Diagnostics Initiative 15,Medical,Diagnostics,APAC,PMM_18,High,Launch,2025Q4,Month3,519235.9,443796.4,95,84.5,77,56.2,41.8,91.8,High,0.855,0.889,0.144,0.562,0.836,0.836,0.722,0.517,-14.52894532138475,-10.5,Red,High,235,37.65
INIT-0050,Gas Filters Initiative 5,Industrial,Gas Filters,APAC,PMM_07,Medium,Launch,2024Q3,Month3,142599.68,120732.54,95,81.3,64,55.1,30.4,74.1,High,0.847,0.856,0.289,0.551,0.608,0.482,0.675,0.572,-15.33463469202736,-13.700000000000005,Red,High,240,37.35
INIT-0059,Gas Filters Initiative 14,Industrial,Gas Filters,APAC,PMM_03,High,Launch,2024Q3,Month2,177610.06,151986.68,95,85.1,72,39.7,33.3,104.4,High,0.856,0.896,0.2,0.397,0.666,0.912,0.706,0.548,-14.426761637263116,-9.900000000000006,Red,High,237,37.1
INIT-0021,Cadence Initiative 21,Biopharma Consumables,Cadence,APAC,PMM_19,High,Launch,2024Q3,Month1,139417.59,122015.36,95,90.1,76,30.1,35.1,96.2,Medium,0.875,0.948,0.156,0.301,0.702,0.924,0.712,0.552,-12.4820906744981,-4.900000000000006,Red,High,235,36.76
INIT-0065,Gas Filters Initiative 20,Industrial,Gas Filters,APAC,PMM_01,Medium,Launch,2024Q1,Month3,333474.36,306555.42,95,83.8,77,42.5,31.4,99.1,Medium,0.919,0.882,0.144,0.425,0.628,0.982,0.723,0.513,-8.072266785368447,-11.200000000000005,Red,High,233,36.74
INIT-0065,Gas Filters Initiative 20,Industrial,Gas Filters,APAC,PMM_01,Medium,Launch,2024Q2,Month1,364208.08,347901.18,95,90.1,80,46.4,25.5,86.5,Medium,0.955,0.948,0.111,0.464,0.51,0.73,0.711,0.53,-4.477358108035391,-4.900000000000006,Red,High,238,36.61
INIT-0050,Gas Filters Initiative 5,Industrial,Gas Filters,APAC,PMM_07,Medium,Launch,2024Q3,Month2,137212.64,113917.67,95,87.2,69,41.8,28.7,98.5,High,0.83,0.918,0.233,0.418,0.574,0.97,0.705,0.576,-16.977277020542726,-7.799999999999997,Red,High,238,36.47
INIT-0047,Membranes Initiative 2,Industrial,Membranes,North America,PMM_20,Medium,Launch,2025Q3,Month2,290997.3,244153.74,95,83.8,65,51.5,29.7,86.5,High,0.839,0.882,0.278,0.515,0.594,0.73,0.696,0.58,-16.09759265807621,-11.200000000000005,Red,High,239,36.3
INIT-0023,Kleenpak Initiative 23,Biopharma Consumables,Kleenpak,EMEA,PMM_02,High,Launch,2024Q4,Month1,156041.76,128407.72,95,83.4,63,49.5,37.7,81.7,High,0.823,0.878,0.3,0.495,0.754,0.634,0.697,0.589,-17.70938753831026,-11.599999999999994,Red,High,240,36.04
INIT-0009,Cadence Initiative 9,Biopharma Consumables,Cadence,EMEA,PMM_17,Medium,Launch,2025Q4,Month3,388850.89,331136.0,95,84.9,65,56.7,35.9,74.2,High,0.852,0.894,0.278,0.567,0.718,0.484,0.695,0.586,-14.842421988541677,-10.099999999999994,Red,High,239,35.98
INIT-0040,Diagnostics Initiative 15,Medical,Diagnostics,APAC,PMM_18,High,Launch,2024Q2,Month3,323019.16,270514.87,95,88.4,71,60.5,40.5,83.8,High,0.837,0.931,0.211,0.605,0.81,0.676,0.72,0.571,-16.25423395937256,-6.599999999999994,Red,High,236,35.94
INIT-0057,Gas Filters Initiative 12,Industrial,Gas Filters,APAC,PMM_12,Medium,Launch,2025Q1,Month3,367033.88,335569.83,95,90.6,78,44.2,29.0,103.7,Medium,0.914,0.954,0.133,0.442,0.58,0.926,0.726,0.544,-8.572519245362304,-4.400000000000006,Red,High,238,35.9
INIT-0040,Diagnostics Initiative 15,Medical,Diagnostics,APAC,PMM_18,High,Launch,2024Q3,Month3,367297.49,329909.22,95,81.5,75,61.9,46.2,89.6,High,0.898,0.858,0.167,0.619,0.924,0.792,0.744,0.512,-10.179288184082068,-13.5,Red,High,226,35.86
INIT-0057,Gas Filters Initiative 12,Industrial,Gas Filters,APAC,PMM_12,Medium,Launch,2024Q4,Month1,364362.08,346339.56,95,89.7,77,50.4,27.9,82.3,Medium,0.951,0.944,0.144,0.504,0.558,0.646,0.714,0.544,-4.946321527201738,-5.299999999999997,Red,High,237,35.83
INIT-0059,Gas Filters Initiative 14,Industrial,Gas Filters,APAC,PMM_03,High,Launch,2024Q4,Month1,198559.71,181804.26,95,86.2,74,54.6,33.0,85.5,Medium,0.916,0.907,0.178,0.546,0.66,0.71,0.72,0.543,-8.438494395464208,-8.799999999999997,Red,High,235,35.83
INIT-0004,Pegasus Initiative 4,Biopharma Consumables,Pegasus,APAC,PMM_06,Medium,Launch,2025Q1,Month1,296142.01,268039.68,95,83.2,72,61.2,36.1,84.7,Medium,0.905,0.876,0.2,0.612,0.722,0.694,0.725,0.538,-9.489477700242531,-11.799999999999995,Red,High,239,35.69
INIT-0057,Gas Filters Initiative 12,Industrial,Gas Filters,APAC,PMM_12,Medium,Launch,2024Q4,Month2,356868.32,330602.67,95,85.1,75,51.6,31.0,93.8,Medium,0.926,0.896,0.167,0.516,0.62,0.876,0.73,0.531,-7.360039691951369,-9.900000000000006,Red,High,234,35.6
INIT-0057,Gas Filters Initiative 12,Industrial,Gas Filters,APAC,PMM_12,Medium,Launch,2025Q4,Month2,431398.85,390886.52,95,86.7,73,50.2,29.4,92.7,Medium,0.906,0.913,0.189,0.502,0.588,0.854,0.722,0.551,-9.39092211302834,-8.299999999999997,Red,High,234,35.56
INIT-0021,Cadence Initiative 21,Biopharma Consumables,Cadence,APAC,PMM_19,High,Launch,2025Q1,Month2,152501.06,136863.71,95,79.9,71,56.9,39.6,92.6,High,0.897,0.841,0.211,0.569,0.792,0.852,0.735,0.526,-10.253928726790493,-15.099999999999994,Red,High,237,35.56
INIT-0006,Pegasus Initiative 6,Biopharma Consumables,Pegasus,APAC,PMM_16,Medium,Launch,2025Q3,Month1,464147.03,409101.52,95,81.3,67,48.5,36.5,89.4,High,0.881,0.856,0.256,0.485,0.73,0.788,0.718,0.556,-11.859498486934196,-13.700000000000005,Red,High,234,35.44
INIT-0065,Gas Filters Initiative 20,Industrial,Gas Filters,APAC,PMM_01,Medium,Launch,2024Q4,Month3,420629.24,358401.43,95,89.7,70,65.3,33.9,82.6,Medium,0.852,0.944,0.222,0.653,0.678,0.652,0.719,0.583,-14.79398103660126,-5.299999999999997,Red,High,236,35.32
INIT-0040,Diagnostics Initiative 15,Medical,Diagnostics,APAC,PMM_18,High,Launch,2024Q3,Month2,368452.07,311655.62,95,86.0,70,60.8,39.9,91.2,High,0.846,0.905,0.222,0.608,0.798,0.824,0.733,0.564,-15.414881506840228,-9.0,Red,High,229,35.26
INIT-0067,Beer Initiative 2,Food & Beverage,Beer,EMEA,PMM_04,Low,Launch,2024Q1,Month3,119135.24,107116.93,95,83.3,65,64.9,29.1,74.5,Medium,0.899,0.877,0.278,0.649,0.582,0.49,0.704,0.577,-10.087955503342265,-11.700000000000005,Red,High,237,35.07
INIT-0006,Pegasus Initiative 6,Biopharma Consumables,Pegasus,APAC,PMM_16,Medium,Launch,2025Q2,Month2,410682.95,391469.96,95,81.0,75,72.0,42.1,79.7,Medium,0.953,0.853,0.167,0.72,0.842,0.594,0.745,0.51,-4.67830232543133,-14.0,Red,High,227,35.06
INIT-0050,Gas Filters Initiative 5,Industrial,Gas Filters,APAC,PMM_07,Medium,Launch,2025Q4,Month3,198950.1,171138.82,95,88.0,68,46.0,29.2,95.1,Medium,0.86,0.926,0.244,0.46,0.584,0.902,0.718,0.585,-13.979022880611772,-7.0,Red,High,236,35.0
INIT-0004,Pegasus Initiative 4,Biopharma Consumables,Pegasus,APAC,PMM_06,Medium,Launch,2024Q1,Month3,205571.94,189336.59,95,80.1,71,62.6,39.9,88.5,Medium,0.921,0.843,0.211,0.626,0.798,0.77,0.742,0.527,-7.897648871728313,-14.900000000000006,Red,High,226,34.82
INIT-0050,Gas Filters Initiative 5,Industrial,Gas Filters,APAC,PMM_07,Medium,Launch,2024Q2,Month1,130210.29,119641.27,95,89.3,76,66.1,30.3,90.9,Medium,0.919,0.94,0.156,0.661,0.606,0.818,0.741,0.548,-8.11688538593992,-5.700000000000003,Red,High,231,34.77
INIT-0047,Membranes Initiative 2,Industrial,Membranes,North America,PMM_20,Medium,Launch,2024Q3,Month1,198432.34,163921.76,95,90.4,69,72.1,30.6,91.6,High,0.826,0.952,0.233,0.721,0.612,0.832,0.731,0.592,-17.39161066185078,-4.599999999999994,Red,High,231,34.75
INIT-0067,Beer Initiative 2,Food & Beverage,Beer,EMEA,PMM_04,Low,Launch,2024Q1,Month1,123660.34,105248.43,95,90.0,64,57.3,24.6,81.6,Medium,0.851,0.947,0.289,0.573,0.492,0.632,0.7,0.618,-14.889098639062452,-5.0,Red,High,238,34.74
INIT-0023,Kleenpak Initiative 23,Biopharma Consumables,Kleenpak,EMEA,PMM_02,High,Launch,2025Q2,Month2,180022.61,149358.49,95,89.7,62,42.5,34.7,80.8,Medium,0.83,0.944,0.311,0.425,0.694,0.616,0.699,0.628,-17.033482627543282,-5.299999999999997,Red,High,239,34.65
INIT-0027,Sterile Sets Initiative 2,Medical,Sterile Sets,North America,PMM_16,Low,Launch,2024Q1,Month3,137108.01,114588.08,95,88.6,67,63.4,37.9,84.8,High,0.836,0.933,0.256,0.634,0.758,0.696,0.726,0.594,-16.424955770271925,-6.400000000000006,Red,High,232,34.62
INIT-0065,Gas Filters Initiative 20,Industrial,Gas Filters,APAC,PMM_01,Medium,Launch,2025Q3,Month3,531240.19,473286.91,95,86.5,66,55.7,31.1,80.1,Medium,0.891,0.911,0.267,0.557,0.622,0.602,0.712,0.589,-10.909054151192883,-8.5,Red,High,236,34.56
INIT-0065,Gas Filters Initiative 20,Industrial,Gas Filters,APAC,PMM_01,Medium,Launch,2024Q2,Month3,360365.08,338001.78,95,87.7,74,46.3,29.8,94.7,Medium,0.938,0.923,0.178,0.463,0.596,0.894,0.735,0.55,-6.205734473495597,-7.299999999999997,Red,High,232,34.52
INIT-0050,Gas Filters Initiative 5,Industrial,Gas Filters,APAC,PMM_07,Medium,Launch,2024Q4,Month1,141787.17,120076.56,95,83.0,65,64.1,29.0,101.7,High,0.847,0.874,0.278,0.641,0.58,0.966,0.732,0.576,-15.312111808141749,-12.0,Red,High,232,34.49
INIT-0040,Diagnostics Initiative 15,Medical,Diagnostics,APAC,PMM_18,High,Launch,2025Q3,Month2,495453.55,443931.18,95,82.9,74,73.0,43.9,106.5,High,0.896,0.873,0.178,0.73,0.878,0.87,0.763,0.525,-10.399031352182256,-12.099999999999994,Amber,Medium,215,34.48
INIT-0059,Gas Filters Initiative 14,Industrial,Gas Filters,APAC,PMM_03,High,Launch,2024Q3,Month1,192033.41,162549.06,95,82.7,57,62.4,24.3,78.8,Medium,0.846,0.871,0.367,0.624,0.486,0.576,0.694,0.619,-15.3537605773912,-12.299999999999995,Red,High,239,34.46
INIT-0021,Cadence Initiative 21,Biopharma Consumables,Cadence,APAC,PMM_19,High,Launch,2024Q4,Month1,148160.0,140893.19,95,85.5,77,67.1,33.4,106.0,Medium,0.951,0.9,0.144,0.671,0.668,0.88,0.756,0.522,-4.904704373650107,-9.5,Amber,Medium,222,34.36
INIT-0004,Pegasus Initiative 4,Biopharma Consumables,Pegasus,APAC,PMM_06,Medium,Launch,2024Q4,Month3,258914.77,245860.18,95,81.9,71,53.2,36.1,88.0,Medium,0.95,0.862,0.211,0.532,0.722,0.76,0.738,0.537,-5.0420414408957805,-13.099999999999994,Red,High,230,34.32
INIT-0021,Cadence Initiative 21,Biopharma Consumables,Cadence,APAC,PMM_19,High,Launch,2025Q4,Month3,187902.38,160775.98,95,87.6,70,70.9,33.1,95.5,High,0.856,0.922,0.222,0.709,0.662,0.91,0.745,0.572,-14.436432364507567,-7.400000000000006,Red,High,227,34.27
INIT-0009,Cadence Initiative 9,Biopharma Consumables,Cadence,EMEA,PMM_17,Medium,Launch,2024Q2,Month2,243025.63,210243.94,95,89.1,69,54.3,34.8,91.7,Medium,0.865,0.938,0.233,0.543,0.696,0.834,0.733,0.586,-13.488984680340094,-5.900000000000006,Red,High,234,34.26
INIT-0004,Pegasus Initiative 4,Biopharma Consumables,Pegasus,APAC,PMM_06,Medium,Launch,2024Q4,Month2,270500.73,249307.91,95,85.9,74,67.0,40.0,87.0,Medium,0.922,0.904,0.178,0.67,0.8,0.74,0.751,0.541,-7.834662775216902,-9.099999999999994,Amber,Medium,225,34.24
INIT-0059,Gas Filters Initiative 14,Industrial,Gas Filters,APAC,PMM_03,High,Launch,2025Q2,Month1,218203.68,186902.22,95,81.5,62,56.5,30.0,94.6,High,0.857,0.858,0.311,0.565,0.6,0.892,0.724,0.585,-14.345065124474525,-13.5,Red,High,235,34.22
INIT-0059,Gas Filters Initiative 14,Industrial,Gas Filters,APAC,PMM_03,High,Launch,2025Q3,Month2,252192.4,209252.36,95,90.5,62,50.0,24.6,88.9,Medium,0.83,0.953,0.311,0.5,0.492,0.778,0.705,0.632,-17.026698663401437,-4.5,Red,High,238,34.22
INIT-0065,Gas Filters Initiative 20,Industrial,Gas Filters,APAC,PMM_01,Medium,Launch,2024Q4,Month1,402690.66,359763.85,95,83.5,60,39.9,26.8,83.2,Medium,0.893,0.879,0.333,0.399,0.536,0.664,0.698,0.606,-10.659996434980638,-11.5,Red,High,239,34.18
INIT-0059,Gas Filters Initiative 14,Industrial,Gas Filters,APAC,PMM_03,High,Launch,2025Q3,Month3,240816.2,214503.6,95,88.3,72,61.4,31.1,102.6,Medium,0.891,0.929,0.2,0.614,0.622,0.948,0.746,0.565,-10.926424385070442,-6.700000000000003,Red,High,226,34.09
INIT-0004,Pegasus Initiative 4,Biopharma Consumables,Pegasus,APAC,PMM_06,Medium,Launch,2025Q4,Month3,342893.55,314720.87,95,83.4,72,68.5,38.5,90.5,Medium,0.918,0.878,0.2,0.685,0.77,0.81,0.753,0.539,-8.216159213260207,-11.599999999999994,Amber,Medium,215,34.07
INIT-0004,Pegasus Initiative 4,Biopharma Consumables,Pegasus,APAC,PMM_06,Medium,Launch,2025Q2,Month3,298573.81,276822.67,95,85.0,65,28.4,33.8,85.8,Medium,0.927,0.895,0.278,0.284,0.676,0.716,0.713,0.586,-7.285012707578074,-10.0,Red,High,237,33.94
INIT-0057,Gas Filters Initiative 12,Industrial,Gas Filters,APAC,PMM_12,Medium,Launch,2025Q2,Month3,401334.32,333177.92,95,85.8,63,56.8,33.3,95.8,High,0.83,0.903,0.3,0.568,0.666,0.916,0.731,0.602,-16.98244994347855,-9.200000000000005,Red,High,232,33.88
INIT-0054,Membranes Initiative 9,Industrial,Membranes,North America,PMM_08,Low,Launch,2024Q4,Month2,370909.42,308361.59,95,85.0,58,67.5,26.4,83.7,Medium,0.831,0.895,0.356,0.675,0.528,0.674,0.711,0.625,-16.863370577107467,-10.0,Red,High,238,33.74
INIT-0065,Gas Filters Initiative 20,Industrial,Gas Filters,APAC,PMM_01,Medium,Launch,2025Q4,Month2,566937.07,468079.02,95,86.8,66,73.6,31.5,99.1,High,0.826,0.914,0.267,0.736,0.63,0.982,0.747,0.59,-17.437217502817365,-8.200000000000003,Red,High,224,33.74
INIT-0047,Membranes Initiative 2,Industrial,Membranes,North America,PMM_20,Medium,Launch,2024Q2,Month3,191444.59,164865.49,95,92.2,65,51.8,29.3,84.5,Medium,0.861,0.971,0.278,0.518,0.586,0.69,0.717,0.624,-13.88344272355777,-2.799999999999997,Red,High,237,33.66
INIT-0021,Cadence Initiative 21,Biopharma Consumables,Cadence,APAC,PMM_19,High,Launch,2025Q1,Month3,145535.71,136094.44,95,81.0,67,50.9,38.4,88.4,Medium,0.935,0.853,0.256,0.509,0.768,0.768,0.741,0.554,-6.48725319717064,-14.0,Red,High,236,33.53
INIT-0050,Gas Filters Initiative 5,Industrial,Gas Filters,APAC,PMM_07,Medium,Launch,2025Q3,Month3,177457.96,163692.62,95,84.7,64,41.6,28.4,88.3,Medium,0.922,0.892,0.289,0.416,0.568,0.766,0.719,0.59,-7.756958324101099,-10.299999999999995,Red,High,232,33.52
INIT-0038,Sterile Sets Initiative 13,Medical,Sterile Sets,EMEA,PMM_03,Medium,Launch,2024Q1,Month3,207920.31,182204.41,95,82.2,63,43.5,40.6,94.3,Medium,0.876,0.865,0.3,0.435,0.812,0.886,0.738,0.583,-12.368152009777203,-12.799999999999995,Red,High,229,33.38
INIT-0027,Sterile Sets Initiative 2,Medical,Sterile Sets,North America,PMM_16,Low,Launch,2024Q3,Month1,155048.52,134481.69,95,89.6,68,60.7,44.2,83.5,Medium,0.867,0.943,0.244,0.607,0.884,0.67,0.745,0.594,-13.264770279651808,-5.400000000000006,Red,High,225,33.3
INIT-0037,Diagnostics Initiative 12,Medical,Diagnostics,North America,PMM_18,Medium,Launch,2025Q4,Month3,376296.77,332568.27,95,83.8,66,52.5,39.2,104.2,Medium,0.884,0.882,0.267,0.525,0.784,0.916,0.748,0.574,-11.620748166400684,-11.200000000000005,Red,High,222,33.27
INIT-0018,Cadence Initiative 18,Biopharma Consumables,Cadence,North America,PMM_20,Medium,Launch,2025Q3,Month3,266750.55,225178.37,95,85.8,58,58.3,37.5,76.7,Medium,0.844,0.903,0.356,0.583,0.75,0.534,0.716,0.629,-15.58466514876914,-9.200000000000005,Red,High,235,33.17
INIT-0037,Diagnostics Initiative 12,Medical,Diagnostics,North America,PMM_18,Medium,Launch,2025Q2,Month1,316995.4,272475.21,95,93.9,69,47.1,42.9,87.6,Medium,0.86,0.988,0.233,0.471,0.858,0.752,0.742,0.611,-14.04442777403079,-1.0999999999999943,Red,High,229,33.16
INIT-0059,Gas Filters Initiative 14,Industrial,Gas Filters,APAC,PMM_03,High,Launch,2024Q2,Month1,172034.58,148439.72,95,88.6,67,75.5,30.3,91.8,Medium,0.863,0.933,0.256,0.755,0.606,0.836,0.747,0.594,-13.715184470470987,-6.400000000000006,Red,High,228,33.16
INIT-0047,Membranes Initiative 2,Industrial,Membranes,North America,PMM_20,Medium,Launch,2025Q4,Month1,316315.56,289288.49,95,86.6,65,52.3,30.5,85.8,Medium,0.915,0.912,0.278,0.523,0.61,0.716,0.729,0.595,-8.54433781253126,-8.400000000000006,Red,High,232,33.08
INIT-0018,Cadence Initiative 18,Biopharma Consumables,Cadence,North America,PMM_20,Medium,Launch,2025Q4,Month3,261183.14,231799.64,95,92.9,67,48.7,36.3,81.6,Medium,0.887,0.978,0.256,0.487,0.726,0.632,0.729,0.617,-11.250151904904737,-2.0999999999999943,Red,High,231,33.06
INIT-0021,Cadence Initiative 21,Biopharma Consumables,Cadence,APAC,PMM_19,High,Launch,2024Q1,Month3,116481.64,97583.12,95,89.2,61,56.1,36.7,84.1,Medium,0.838,0.939,0.322,0.561,0.734,0.682,0.727,0.631,-16.224462498982675,-5.799999999999997,Red,High,231,32.95
INIT-0047,Membranes Initiative 2,Industrial,Membranes,North America,PMM_20,Medium,Launch,2025Q2,Month3,262071.59,227871.97,95,93.9,66,63.6,24.4,87.3,Medium,0.87,0.988,0.267,0.636,0.488,0.746,0.729,0.628,-13.04972431387927,-1.0999999999999943,Red,High,234,32.92
INIT-0065,Gas Filters Initiative 20,Industrial,Gas Filters,APAC,PMM_01,Medium,Launch,2025Q3,Month1,556514.06,478618.71,95,83.0,57,50.3,27.8,91.6,Medium,0.86,0.874,0.367,0.503,0.556,0.832,0.72,0.62,-13.997013840045664,-12.0,Red,High,231,32.9
INIT-0065,Gas Filters Initiative 20,Industrial,Gas Filters,APAC,PMM_01,Medium,Launch,2025Q2,Month3,479327.98,443018.12,95,80.1,61,57.4,32.0,84.1,Medium,0.924,0.843,0.322,0.574,0.64,0.682,0.73,0.583,-7.57515970588656,-14.900000000000006,Red,High,233,32.88
INIT-0050,Gas Filters Initiative 5,Industrial,Gas Filters,APAC,PMM_07,Medium,Launch,2025Q4,Month1,197803.47,167543.91,95,80.7,57,63.5,28.2,95.2,Medium,0.847,0.849,0.367,0.635,0.564,0.904,0.732,0.608,-15.29779027637887,-14.299999999999995,Red,High,230,32.84
INIT-0054,Membranes Initiative 9,Industrial,Membranes,North America,PMM_08,Low,Launch,2025Q3,Month3,462138.09,418601.02,95,87.5,69,72.2,31.6,91.0,Medium,0.906,0.921,0.233,0.722,0.632,0.82,0.754,0.577,-9.420792386968149,-7.5,Amber,Medium,219,32.84
INIT-0057,Gas Filters Initiative 12,Industrial,Gas Filters,APAC,PMM_12,Medium,Launch,2024Q2,Month1,296113.66,266646.65,95,80.8,67,71.7,35.5,99.9,Medium,0.9,0.851,0.256,0.717,0.71,0.998,0.766,0.553,-9.951249800498887,-14.200000000000005,Amber,Medium,217,32.83
INIT-0045,IV Filters Initiative 20,Medical,IV Filters,North America,PMM_09,Low,Launch,2024Q2,Month3,311901.72,279112.15,95,87.3,68,60.4,38.3,92.2,Medium,0.895,0.919,0.244,0.604,0.766,0.844,0.755,0.582,-10.512789092666738,-7.700000000000003,Amber,Medium,226,32.73
INIT-0006,Pegasus Initiative 6,Biopharma Consumables,Pegasus,APAC,PMM_16,Medium,Launch,2024Q1,Month3,282707.94,266327.3,95,88.9,71,57.3,37.5,85.5,Medium,0.942,0.936,0.211,0.573,0.75,0.71,0.752,0.573,-5.79419170186731,-6.099999999999994,Amber,Medium,222,32.68
INIT-0050,Gas Filters Initiative 5,Industrial,Gas Filters,APAC,PMM_07,Medium,Launch,2024Q1,Month1,115226.53,103093.72,95,90.8,67,58.1,27.0,92.9,Medium,0.895,0.956,0.256,0.581,0.54,0.858,0.741,0.606,-10.529528225834795,-4.200000000000003,Red,High,227,32.66
INIT-0006,Pegasus Initiative 6,Biopharma Consumables,Pegasus,APAC,PMM_16,Medium,Launch,2025Q3,Month3,475228.72,425779.75,95,83.3,58,41.3,36.6,81.2,Medium,0.896,0.877,0.356,0.413,0.732,0.624,0.719,0.616,-10.405299157845509,-11.700000000000005,Red,High,233,32.62
INIT-0059,Gas Filters Initiative 14,Industrial,Gas Filters,APAC,PMM_03,High,Launch,2024Q3,Month3,185535.08,154759.34,95,82.9,54,64.3,31.1,83.1,Medium,0.834,0.873,0.4,0.643,0.622,0.662,0.719,0.636,-16.587558536100016,-12.099999999999994,Red,High,234,32.6
INIT-0023,Kleenpak Initiative 23,Biopharma Consumables,Kleenpak,EMEA,PMM_02,High,Launch,2024Q4,Month2,157627.2,133938.98,95,83.5,59,51.6,38.0,92.7,Medium,0.85,0.879,0.344,0.516,0.76,0.854,0.738,0.612,-15.028002781245874,-11.5,Red,High,229,32.58
INIT-0057,Gas Filters Initiative 12,Industrial,Gas Filters,APAC,PMM_12,Medium,Launch,2025Q2,Month2,395185.22,370388.42,95,89.9,74,68.8,30.2,101.4,Medium,0.937,0.946,0.178,0.688,0.604,0.972,0.77,0.562,-6.274728594353804,-5.099999999999994,Amber,Medium,203,32.46
INIT-0006,Pegasus Initiative 6,Biopharma Consumables,Pegasus,APAC,PMM_16,Medium,Launch,2025Q4,Month2,514716.3,453674.12,95,85.9,69,70.1,42.9,96.8,Medium,0.881,0.904,0.233,0.701,0.858,0.936,0.774,0.569,-11.85938350893492,-9.099999999999994,Amber,Medium,206,32.45
