business_unit,region,channel,customer_tier,baseline_revenue,scenario_revenue,baseline_quantity,scenario_quantity,orders,avg_net_price,avg_discount_pct,avg_scenario_discount_pct,orders_above_list_price,revenue_change,revenue_change_pct,quantity_change,quantity_change_pct,price_increase_pct,pct_orders_above_list_price
Industrial,North America,Distributor,Standard,15530286.99,15765428.723554049,9748,9424.374283934034,109,1575.5943119266055,14.49256880733945,10.217308163951515,0,235141.73355404846,1.5140849213247431,-323.6257160659661,-3.3199191225478653,5.0,0.0
Food & Beverage,EMEA,Distributor,Standard,15435846.72,15669558.54766632,6938,6707.6640112776295,78,2205.724358974359,14.531538461538462,10.258524754418234,0,233711.8276663199,1.5140849213247431,-230.33598872237053,-3.3199191225478653,5.0,0.0
Medical,EMEA,Distributor,Standard,15261523.41,15492595.834715256,8485,8203.304862451814,100,1764.5907,14.594100000000001,10.323937661190453,0,231072.42471525632,1.5140849213247431,-281.6951375481858,-3.319919122547854,5.0,0.0
Industrial,EMEA,Direct,Standard,14846524.27,15071313.255312888,8223,7950.003050552889,109,1814.638990825688,10.595045871559632,6.125125792487359,0,224788.9853128884,1.5140849213247431,-272.99694944711064,-3.3199191225478653,5.0,0.0
Industrial,EMEA,Distributor,Standard,14331308.54,14548296.721632665,8559,8274.848122301128,102,1644.499117647059,14.39078431372549,10.11007086946451,0,216988.18163266592,1.5140849213247431,-284.15187769887234,-3.3199191225478764,5.0,0.0
Biopharma Consumables,North America,Direct,Strategic,14083787.32,14297027.820163567,6234,6027.036241900366,58,2252.973275862069,18.21551724137931,14.125638459930737,0,213240.50016356632,1.5140849213247431,-206.9637580996341,-3.3199191225478653,5.0,0.0
Medical,North America,Distributor,Standard,13351363.38,13553514.359727854,8722,8432.436654131376,92,1521.8278260869565,14.524673913043477,10.251301390105601,0,202150.9797278531,1.5140849213247431,-289.5633458686243,-3.319919122547854,5.0,0.0
Food & Beverage,EMEA,Direct,Strategic,12117796.69,12301270.42248008,6011,5811.439661543648,59,2012.9093220338982,18.431186440677966,14.352181325905272,0,183473.7324800808,1.5140849213247654,-199.56033845635193,-3.3199191225478653,5.0,0.0
Food & Beverage,North America,Direct,Transactional,11814403.23,11993283.327849934,4590,4437.615712275053,75,2581.2898666666665,6.416666666666667,1.7378998074086747,9,178880.09784993343,1.5140849213247431,-152.38428772494717,-3.3199191225478653,5.0,12.0
Medical,North America,Direct,Transactional,11573981.63,11749221.540656727,5285,5109.542274373345,83,2206.690722891566,6.525903614457831,1.851703159253101,11,175239.910656726,1.5140849213247431,-175.4577256266548,-3.3199191225478653,5.0,13.253012048192772
Medical,APAC,Direct,Standard,11445958.97,11619260.508865787,6430,6216.529200420172,94,1717.3002127659574,11.607978723404257,7.188215609164226,0,173301.53886578605,1.5140849213247431,-213.47079957982805,-3.3199191225478653,5.0,0.0
Food & Beverage,North America,Distributor,Strategic,11240246.2,11410433.072833978,5508,5325.138854730064,45,2010.8197777777777,22.37311111111111,18.491698178002178,0,170186.87283397838,1.5140849213247431,-182.86114526993606,-3.319919122547854,5.0,0.0
Food & Beverage,North America,Distributor,Transactional,11151535.879999999,11320379.6032552,4841,4680.282715277458,70,2296.8835714285715,10.757142857142858,6.295362491937951,0,168843.7232552003,1.5140849213247654,-160.717284722542,-3.3199191225478653,5.0,0.0
Food & Beverage,APAC,Direct,Standard,11004534.5,11171152.49752648,4908,4745.058369465351,75,2198.983866666667,11.483466666666667,7.057695339441618,0,166617.99752647988,1.5140849213247431,-162.94163053464945,-3.3199191225478653,5.0,0.0
Food & Beverage,EMEA,Distributor,Transactional,10698347.77,10860329.840416452,4688,4532.362191534956,70,2244.592571428572,10.691857142857142,6.227161872736186,0,161982.07041645236,1.5140849213247431,-155.63780846504415,-3.3199191225478653,5.0,0.0
Biopharma Consumables,North America,Distributor,Strategic,10371400.29,10528432.097921122,5161,4989.658974085305,41,2008.008536585366,22.740731707317074,18.878353218366488,0,157031.80792112276,1.5140849213247654,-171.3410259146949,-3.319919122547854,5.0,0.0
Biopharma Consumables,APAC,Direct,Standard,10227151.05,10381998.801929155,4994,4828.203239019959,75,2076.6689333333334,11.4172,6.988212136138048,0,154847.75192915462,1.5140849213247431,-165.79676098004074,-3.3199191225478764,5.0,0.0
Food & Beverage,North America,Direct,Strategic,9729538.08,9876851.54898383,4751,4593.270642487751,43,2083.5565116279067,18.94651162790698,14.893688136193072,0,147313.46898382902,1.5140849213247431,-157.7293575122494,-3.3199191225478764,5.0,0.0
Biopharma Consumables,North America,Distributor,Transactional,9586912.6,9732066.598097183,4866,4704.45273549682,67,1977.88223880597,10.823731343283583,6.36492372614052,0,145153.99809718318,1.5140849213247654,-161.54726450317958,-3.3199191225478764,5.0,0.0
Medical,North America,Distributor,Strategic,9444672.07,9587672.42568044,5238,5064.102636360943,41,1802.3607317073172,22.215365853658536,18.325476256641863,0,143000.35568043962,1.5140849213247431,-173.8973636390574,-3.3199191225478653,5.0,0.0
Biopharma Consumables,APAC,Distributor,Standard,9429296.06,9572063.609831529,4926,4762.460784023292,63,1915.944761904762,15.73015873015873,11.516067954200352,0,142767.54983152822,1.5140849213247431,-163.53921597670796,-3.3199191225478653,5.0,0.0
Industrial,North America,Direct,Transactional,9296390.04,9437145.279823177,5193,5020.596599966089,83,1751.7555421686745,6.515301204819277,1.8416445054461448,12,140755.23982317746,1.5140849213247654,-172.40340003391066,-3.3199191225478653,5.0,14.457831325301203
Biopharma Consumables,North America,Direct,Transactional,9270623.06,9410988.165864315,4270,4128.239453467206,66,2153.1922727272727,6.238484848484848,1.5494615509051721,13,140365.10586431436,1.5140849213247431,-141.76054653279425,-3.3199191225478764,5.0,19.696969696969695
Food & Beverage,EMEA,Direct,Transactional,9263393.13,9403648.768584363,4292,4149.509071260246,73,2156.7445205479453,6.705479452054795,2.0410837695847213,8,140255.63858436234,1.5140849213247431,-142.49092873975405,-3.319919122547854,5.0,10.95890410958904
Industrial,APAC,Direct,Standard,8910933.67,9045852.773046719,5051,4883.310885120108,76,1762.3244736842105,11.58407894736842,7.1633816324989805,0,134919.10304671898,1.5140849213247431,-167.68911487989226,-3.319919122547854,5.0,0.0
Biopharma Consumables,EMEA,Direct,Transactional,8692092.66,8823698.324312635,3918,3787.9255687785744,67,2199.681791044776,6.42910447761194,1.7508295755120964,7,131605.66431263462,1.5140849213247431,-130.07443122142558,-3.3199191225478764,5.0,10.44776119402985
Biopharma Consumables,EMEA,Distributor,Strategic,8480786.01,8609192.312187228,4532,4381.541265366131,38,1897.1736842105265,22.31973684210526,18.43589664392973,0,128406.30218722858,1.5140849213247431,-150.45873463386943,-3.3199191225478653,5.0,0.0
Industrial,North America,Direct,Strategic,8425083.94,8552646.865544492,5876,5680.921552359087,56,1447.8958928571428,18.37607142857143,14.294689167092239,0,127562.9255444929,1.5140849213247431,-195.0784476409126,-3.3199191225478653,5.0,0.0
Biopharma Consumables,EMEA,Direct,Strategic,8342181.100000001,8468488.806144703,4828,4667.714304763389,48,1739.1354166666667,18.281875,14.195617416570721,0,126307.70614470262,1.5140849213247431,-160.285695236611,-3.3199191225478653,5.0,0.0
Medical,North America,Distributor,Transactional,8275866.18,8401169.821940394,4885,4722.821950863537,67,1709.0667164179104,10.435820895522388,5.95688550265721,0,125303.64194039442,1.5140849213247431,-162.17804913646341,-3.3199191225478653,5.0,0.0
Food & Beverage,APAC,Distributor,Standard,8125018.09,8248037.763755597,3868,3739.5855283398487,51,2079.2580392156865,15.443333333333333,11.215015682858674,0,123019.67375559732,1.5140849213247431,-128.41447166015132,-3.3199191225478653,5.0,0.0
Industrial,APAC,Distributor,Standard,7857120.86,7976084.342191521,5095,4925.850120706186,68,1559.6002941176469,15.641029411764706,11.423096907979996,0,118963.48219152074,1.5140849213247431,-169.14987929381368,-3.3199191225478653,5.0,0.0
Industrial,EMEA,Distributor,Transactional,7802941.18,7921084.335826219,4872,4710.253540349468,72,1589.483888888889,10.477777777777778,6.00171564306151,0,118143.15582621936,1.5140849213247431,-161.74645965053242,-3.3199191225478764,5.0,0.0
Industrial,EMEA,Direct,Strategic,7798078.06,7916147.584059593,4860,4698.651930644174,50,1610.1672,18.3292,14.245823538964167,0,118069.52405959368,1.5140849213247431,-161.34806935582583,-3.319919122547854,5.0,0.0
Medical,EMEA,Distributor,Strategic,7536975.76,7651091.973506061,4955,4790.498007477753,45,1511.9351111111112,22.589777777777776,18.719559661072633,0,114116.21350606158,1.5140849213247431,-164.50199252224684,-3.3199191225478653,5.0,0.0
Industrial,North America,Distributor,Transactional,7412966.87,7525205.483601469,4484,4335.134826544953,64,1654.4975,10.60125,6.131855204245687,0,112238.6136014685,1.5140849213247431,-148.86517345504672,-3.3199191225478764,5.0,0.0
Biopharma Consumables,APAC,Direct,Strategic,7309776.36,7420452.581649321,3878,3749.2535364275936,41,1931.421707317073,19.783414634146343,15.772697153518962,0,110676.2216493208,1.5140849213247431,-128.74646357240636,-3.3199191225478653,5.0,0.0
Medical,North America,Direct,Strategic,7172624.3100000005,7281223.933140983,5234,5060.235433125845,47,1394.8368085106383,18.64851063829787,14.581085588154156,0,108599.62314098235,1.5140849213247431,-173.7645668741552,-3.3199191225478653,5.0,0.0
Industrial,EMEA,Direct,Transactional,7146968.78,7255179.956629767,3779,3653.540256358916,65,1857.5283076923076,6.374,1.6930434428441803,11,108211.17662976682,1.5140849213247431,-125.45974364108406,-3.3199191225478764,5.0,16.923076923076923
Medical,EMEA,Direct,Transactional,7047191.6,7153892.065392464,3892,3762.7887477504373,66,1824.2516666666668,6.695909090909091,2.0308752391989193,4,106700.46539246477,1.5140849213247654,-129.21125224956268,-3.319919122547854,5.0,6.0606060606060606
Medical,APAC,Distributor,Standard,6951745.34,7057000.667961836,4967,4802.0996171830475,63,1429.8619047619047,15.211587301587302,10.97211651992484,0,105255.32796183601,1.5140849213247431,-164.90038281695251,-3.3199191225478653,5.0,0.0
Food & Beverage,EMEA,Distributor,Strategic,6703881.69,6805384.15181174,3425,3311.2927700527357,32,1984.0743750000001,22.82125,18.962794173568117,0,101502.46181173995,1.5140849213247431,-113.7072299472643,-3.3199191225478653,5.0,0.0
Industrial,EMEA,Distributor,Strategic,6577112.31,6676695.375744304,4275,4133.073457511079,38,1527.9623684210526,22.583947368421054,18.714040642715325,0,99583.0657443041,1.5140849213247431,-141.92654248892086,-3.319919122547854,5.0,0.0
Biopharma Consumables,EMEA,Distributor,Transactional,6566827.93,6666255.281497472,3411,3297.7575587298925,52,1985.7921153846155,10.481153846153846,6.0055485050159385,0,99427.35149747226,1.5140849213247431,-113.24244127010752,-3.3199191225478653,5.0,0.0
Biopharma Consumables,APAC,Distributor,Transactional,6238946.93,6333409.884716583,2517,2433.43763568547,43,2453.518604651163,11.786511627906977,7.375516673119591,0,94462.95471658371,1.5140849213247654,-83.56236431452999,-3.3199191225478764,5.0,0.0
Medical,EMEA,Distributor,Transactional,6135681.11,6228580.532507081,3458,3343.1971967422946,54,1728.746111111111,10.382592592592593,5.900904710638513,0,92899.42250708025,1.5140849213247431,-114.80280325770536,-3.3199191225478653,5.0,0.0
Industrial,APAC,Direct,Transactional,5988185.31,6078851.520839693,3223,3115.9990066802825,63,1811.4733333333331,7.364126984126984,2.732405873687608,3,90666.21083969343,1.5140849213247431,-107.00099331971751,-3.319919122547854,5.0,4.761904761904762
Industrial,North America,Distributor,Strategic,5671783.5,5757659.118743685,3592,3472.7485051180806,30,1550.1526666666666,22.345000000000002,18.46346709781117,0,85875.61874368507,1.5140849213247431,-119.25149488191937,-3.3199191225478653,5.0,0.0
Food & Beverage,APAC,Direct,Transactional,5618962.27,5704038.130464996,2718,2627.764598249149,52,2074.751153846154,7.162692307692307,2.5202949460191553,3,85075.86046499666,1.5140849213247431,-90.235401750851,-3.3199191225478653,5.0,5.769230769230769
Biopharma Consumables,APAC,Distributor,Strategic,5481605.28,5564601.438991021,2688,2598.7605739859137,26,1935.3342307692308,23.261923076923075,19.4243453459431,0,82996.1589910211,1.5140849213247431,-89.23942601408635,-3.319919122547854,5.0,0.0
Medical,EMEA,Direct,Strategic,5393516.36,5475178.777935944,3583,3464.04729783911,35,1455.5722857142857,18.555428571428575,14.48321136975995,0,81662.41793594323,1.5140849213247431,-118.95270216089011,-3.3199191225478653,5.0,0.0
Biopharma Consumables,APAC,Direct,Transactional,5249376.25,5328856.264264853,2602,2515.6157044313045,50,1942.9138,7.2542,2.6174768875566814,3,79480.01426485274,1.5140849213247431,-86.3842955686955,-3.3199191225478653,5.0,6.0
Food & Beverage,APAC,Direct,Strategic,5185415.96,5263927.561158326,2774,2681.9054435405224,31,1941.9125806451614,19.970000000000002,15.968081216639748,0,78511.60115832649,1.5140849213247431,-92.09455645947764,-3.3199191225478653,5.0,0.0
Industrial,APAC,Direct,Strategic,4930497.62,5005149.5410106955,2990,2890.734418235819,33,1670.520303030303,19.59,15.569855947227417,0,74651.9210106954,1.5140849213247431,-99.2655817641812,-3.3199191225478653,5.0,0.0
Food & Beverage,APAC,Distributor,Transactional,4846752.84,4920136.793924319,2202,2128.895380921496,42,2186.5299999999997,11.355714285714285,6.923875523385867,0,73383.95392431878,1.5140849213247431,-73.10461907850413,-3.3199191225478764,5.0,0.0
Medical,APAC,Direct,Transactional,4523466.76,4591955.888134297,2376,2297.1187216482626,46,1879.1947826086957,7.350652173913043,2.718180499333381,2,68489.1281342972,1.5140849213247431,-78.88127835173736,-3.3199191225478653,5.0,4.3478260869565215
Medical,APAC,Direct,Strategic,4181619.19,4244932.455623012,2608,2521.4165092839517,28,1647.2521428571429,19.39107142857143,15.360339117765434,0,63313.26562301209,1.5140849213247431,-86.58349071604835,-3.3199191225478653,5.0,0.0
Food & Beverage,APAC,Distributor,Strategic,4054654.27,4116045.17891392,2041,1973.240450708798,19,1992.4673684210525,23.652631578947368,19.834906825835425,0,61390.90891392017,1.5140849213247431,-67.75954929120189,-3.3199191225478653,5.0,0.0
Industrial,APAC,Distributor,Transactional,3296467.81,3346379.132047534,2348,2270.048299002576,40,1421.80575,11.371500000000001,6.940321547173949,0,49911.32204753393,1.5140849213247431,-77.95170099742381,-3.3199191225478653,5.0,0.0
Industrial,APAC,Distributor,Strategic,3255328.94,3304617.3846200607,2235,2160.7998076110553,22,1420.5018181818182,23.62181818181818,19.803114800583604,0,49288.444620060734,1.5140849213247431,-74.20019238894474,-3.3199191225478653,5.0,0.0
Medical,APAC,Distributor,Transactional,2692618.71,2733387.243876879,1824,1763.444675204727,31,1475.1441935483872,11.937096774193549,7.533366981505688,0,40768.53387687914,1.5140849213247654,-60.55532479527301,-3.3199191225478653,5.0,0.0
Medical,APAC,Distributor,Strategic,2097101.76,2128853.6615329958,2097,2027.3812960001712,22,1027.0618181818181,23.717272727272725,19.902702604639174,0,31751.901532995747,1.5140849213247431,-69.61870399982877,-3.3199191225478653,5.0,0.0
