initiative_id,initiative_name,business_unit,product_family,region,owner,priority,lifecycle_stage,quarter,checkpoint,planned_revenue,actual_revenue,planned_otd_pct,actual_otd_pct,backlog_days,customer_adoption_pct,gross_margin_pct,budget_utilization_pct,risk_level,revenue_attainment,otd_attainment,backlog_score,adoption_score,margin_score,budget_score,aos_health,execution_score,revenue_variance_pct,otd_variance_pct,status,risk_category,priority_rank,risk_score
INIT-0021,Cadence Initiative 21,Biopharma Consumables,Cadence,APAC,PMM_19,High,Launch,2025Q2,Month1,155327.89,142168.23,95,81.6,75,52.8,40.9,75.2,High,0.915,0.859,0.167,0.528,0.818,0.504,0.702,0.513,-8.472181010119948,-13.400000000000006,Red,High,238,37.68
INIT-0040,Diagnostics Initiative 15,Medical,Diagnostics,APAC,PMM_18,High,Launch,2025Q4,Month3,519235.9,443796.4,95,84.5,77,56.2,41.8,91.8,High,0.855,0.889,0.144,0.562,0.836,0.836,0.722,0.517,-14.52894532138475,-10.5,Red,High,235,37.65
INIT-0050,Gas Filters Initiative 5,Industrial,Gas Filters,APAC,PMM_07,Medium,Launch,2024Q3,Month3,142599.68,120732.54,95,81.3,64,55.1,30.4,74.1,High,0.847,0.856,0.289,0.551,0.608,0.482,0.675,0.572,-15.33463469202736,-13.700000000000005,Red,High,240,37.35
INIT-0059,Gas Filters Initiative 14,Industrial,Gas Filters,APAC,PMM_03,High,Launch,2024Q3,Month2,177610.06,151986.68,95,85.1,72,39.7,33.3,104.4,High,0.856,0.896,0.2,0.397,0.666,0.912,0.706,0.548,-14.426761637263116,-9.900000000000006,Red,High,237,37.1
INIT-0021,Cadence Initiative 21,Biopharma Consumables,Cadence,APAC,PMM_19,High,Launch,2024Q3,Month1,139417.59,122015.36,95,90.1,76,30.1,35.1,96.2,Medium,0.875,0.948,0.156,0.301,0.702,0.924,0.712,0.552,-12.4820906744981,-4.900000000000006,Red,High,235,36.76
INIT-0065,Gas Filters Initiative 20,Industrial,Gas Filters,APAC,PMM_01,Medium,Launch,2024Q1,Month3,333474.36,306555.42,95,83.8,77,42.5,31.4,99.1,Medium,0.919,0.882,0.144,0.425,0.628,0.982,0.723,0.513,-8.072266785368447,-11.200000000000005,Red,High,233,36.74
INIT-0065,Gas Filters Initiative 20,Industrial,Gas Filters,APAC,PMM_01,Medium,Launch,2024Q2,Month1,364208.08,347901.18,95,90.1,80,46.4,25.5,86.5,Medium,0.955,0.948,0.111,0.464,0.51,0.73,0.711,0.53,-4.477358108035391,-4.900000000000006,Red,High,238,36.61
INIT-0050,Gas Filters Initiative 5,Industrial,Gas Filters,APAC,PMM_07,Medium,Launch,2024Q3,Month2,137212.64,113917.67,95,87.2,69,41.8,28.7,98.5,High,0.83,0.918,0.233,0.418,0.574,0.97,0.705,0.576,-16.977277020542726,-7.799999999999997,Red,High,238,36.47
INIT-0047,Membranes Initiative 2,Industrial,Membranes,North America,PMM_20,Medium,Launch,2025Q3,Month2,290997.3,244153.74,95,83.8,65,51.5,29.7,86.5,High,0.839,0.882,0.278,0.515,0.594,0.73,0.696,0.58,-16.09759265807621,-11.200000000000005,Red,High,239,36.3
INIT-0023,Kleenpak Initiative 23,Biopharma Consumables,Kleenpak,EMEA,PMM_02,High,Launch,2024Q4,Month1,156041.76,128407.72,95,83.4,63,49.5,37.7,81.7,High,0.823,0.878,0.3,0.495,0.754,0.634,0.697,0.589,-17.70938753831026,-11.599999999999994,Red,High,240,36.04
INIT-0009,Cadence Initiative 9,Biopharma Consumables,Cadence,EMEA,PMM_17,Medium,Launch,2025Q4,Month3,388850.89,331136.0,95,84.9,65,56.7,35.9,74.2,High,0.852,0.894,0.278,0.567,0.718,0.484,0.695,0.586,-14.842421988541677,-10.099999999999994,Red,High,239,35.98
INIT-0040,Diagnostics Initiative 15,Medical,Diagnostics,APAC,PMM_18,High,Launch,2024Q2,Month3,323019.16,270514.87,95,88.4,71,60.5,40.5,83.8,High,0.837,0.931,0.211,0.605,0.81,0.676,0.72,0.571,-16.25423395937256,-6.599999999999994,Red,High,236,35.94
INIT-0057,Gas Filters Initiative 12,Industrial,Gas Filters,APAC,PMM_12,Medium,Launch,2025Q1,Month3,367033.88,335569.83,95,90.6,78,44.2,29.0,103.7,Medium,0.914,0.954,0.133,0.442,0.58,0.926,0.726,0.544,-8.572519245362304,-4.400000000000006,Red,High,238,35.9
INIT-0040,Diagnostics Initiative 15,Medical,Diagnostics,APAC,PMM_18,High,Launch,2024Q3,Month3,367297.49,329909.22,95,81.5,75,61.9,46.2,89.6,High,0.898,0.858,0.167,0.619,0.924,0.792,0.744,0.512,-10.179288184082068,-13.5,Red,High,226,35.86
