sku,business_unit,baseline_revenue,scenario_revenue,baseline_quantity,scenario_quantity,avg_list_price,avg_net_price,avg_discount_pct,avg_scenario_discount_pct,orders,orders_above_list_price,revenue_change,revenue_change_pct,quantity_change,quantity_change_pct,price_increase_pct,elasticity,pct_orders_above_list_price,opportunity,opportunity_rank
IND-006,Industrial,26382243.88,26781693.4564942,8269,7994.475887756517,3672.193113207547,3214.2231132075476,12.456226415094338,8.079188369875167,106,3,399449.576494202,1.5140849213247431,-274.5241122434827,-3.3199191225478653,5.0,-0.692,2.8301886792452833,Review,11
BIO-004,Biopharma Consumables,26231313.669999998,26628478.034942865,11134,10764.36020489552,2754.16,2385.4426153846152,13.387846153846155,9.057035678615389,130,0,397164.3649428673,1.5140849213247431,-369.6397951044801,-3.3199191225478764,5.0,-0.692,0.0,Potential price increase,12
BIO-009,Biopharma Consumables,25341294.96,25724983.685857788,10661,10307.063422345173,2764.85,2406.8076923076924,12.949923076923078,8.597280976433543,130,3,383688.72585778683,1.5140849213247431,-353.9365776548275,-3.3199191225478653,5.0,-0.692,2.307692307692308,Review,13
IND-001,Industrial,23968891.46,24331800.831404556,9569,9251.316939163395,2892.092166666667,2525.86625,12.67,8.303641580980605,120,1,362909.3714045547,1.5140849213247431,-317.68306083660536,-3.3199191225478653,5.0,-0.692,0.8333333333333334,Review,14
IND-009,Industrial,23250579.3,23602612.81530195,9546,9229.080520561582,2815.284132231405,2455.712644628099,12.76289256198347,8.401185284592103,121,4,352033.5153019503,1.5140849213247431,-316.9194794384184,-3.319919122547854,5.0,-0.692,3.3057851239669422,Review,15
FOO-001,Food & Beverage,23145479.46,23495921.674472176,9267,8959.343094913489,2880.938706896552,2517.583103448276,12.603189655172415,8.233570276955406,116,2,350442.21447217464,1.5140849213247431,-307.65690508651096,-3.3199191225478653,5.0,-0.692,1.7241379310344827,Review,16
IND-008,Industrial,20371226.04,20679663.70176062,9610,9290.95577232315,2457.7804878048782,2141.2237398373986,12.876829268292683,8.520734485209648,123,2,308437.6617606208,1.5140849213247431,-319.0442276768499,-3.3199191225478653,5.0,-0.692,1.6260162601626018,Review,17
MED-008,Medical,18178247.14,18453481.23890789,8376,8097.923574295391,2497.212358490566,2189.1216981132075,12.332452830188679,7.949223555956475,106,2,275234.09890788794,1.5140849213247431,-278.0764257046094,-3.3199191225478653,5.0,-0.692,1.8867924528301887,Review,18
IND-005,Industrial,16523431.71,16773610.498006502,8733,8443.071463027894,2194.6518348623854,1913.6318348623852,12.795045871559633,8.435151757961798,109,3,250178.78800650127,1.5140849213247431,-289.9285369721056,-3.3199191225478764,5.0,-0.692,2.7522935779816518,Review,19
FOO-010,Food & Beverage,15305296.74,15537031.930104349,8364,8086.321964590096,2126.2554901960784,1845.8092156862747,13.170588235294119,8.829273999233916,102,2,231735.19010434859,1.5140849213247431,-277.6780354099037,-3.3199191225478653,5.0,-0.692,1.9607843137254901,Review,20
IND-004,Industrial,15296088.75,15527684.5233162,9869,9541.35718179575,1797.6991803278688,1567.7872950819672,12.782131147540984,8.420853208065612,122,4,231595.77331620082,1.5140849213247431,-327.6428182042491,-3.3199191225478653,5.0,-0.692,3.278688524590164,Review,21
MED-009,Medical,14843258.86,15067998.40423246,8238,7964.505062684507,2088.422095238095,1818.4830476190477,12.93895238095238,8.585869679814396,105,1,224739.54423245974,1.5140849213247431,-273.4949373154932,-3.3199191225478653,5.0,-0.692,0.9523809523809524,Review,22
FOO-007,Food & Beverage,14419777.97,14638105.653932277,11011,10645.443705416255,1525.3577443609022,1325.186015037594,13.118421052631579,8.77447150063607,133,1,218327.68393227644,1.5140849213247431,-365.5562945837446,-3.319919122547854,5.0,-0.692,0.7518796992481203,Review,23
BIO-001,Biopharma Consumables,13877932.04,14088055.716409335,8991,8692.506071691721,1779.25,1554.067894736842,12.65561403508772,8.288813293596501,114,2,210123.6764093358,1.5140849213247431,-298.49392830827856,-3.3199191225478653,5.0,-0.692,1.7543859649122806,Review,24
IND-003,Industrial,13286441.89,13487609.903237065,10514,10164.943703455318,1463.726343283582,1276.749328358209,12.758805970149254,8.397067182765607,134,3,201168.0132370647,1.5140849213247431,-349.0562965446825,-3.3199191225478653,5.0,-0.692,2.2388059701492535,Review,25
MED-010,Medical,12752581.26,12945666.169937346,10201,9862.335050308891,1468.5616666666667,1262.31275,14.037833333333333,9.739917278196366,120,3,193084.90993734635,1.5140849213247654,-338.66494969110863,-3.3199191225478764,5.0,-0.692,2.5,Review,26
MED-007,Medical,12459232.87,12647876.236197406,9504,9188.47488659305,1515.7605,1321.5249166666665,12.809083333333332,8.44936998149289,120,3,188643.36619740725,1.5140849213247431,-315.52511340694946,-3.3199191225478653,5.0,-0.692,2.5,Review,27
MED-004,Medical,10251973.29,10407196.87172213,10819,10459.817950131546,1103.971897810219,957.6871532846716,13.25014598540146,8.912415975803743,137,1,155223.581722131,1.5140849213247431,-359.18204986845376,-3.3199191225478653,5.0,-0.692,0.7299270072992701,Review,28
IND-007,Industrial,9250715.39,9390779.076834658,10235,9895.206277807227,1048.7344615384616,912.6388461538462,12.97176923076923,8.62066273859514,130,3,140063.68683465756,1.5140849213247431,-339.7937221927732,-3.319919122547854,5.0,-0.692,2.307692307692308,Review,29
BIO-005,Biopharma Consumables,8060775.64,8182822.628507058,11266,10891.977911653757,828.68,721.1486029411765,12.976470588235294,8.625038242960446,136,5,122046.98850705847,1.5140849213247431,-374.0220883462425,-3.3199191225478653,5.0,-0.692,3.6764705882352944,Review,30
MED-006,Medical,7705920.4,7822594.578825688,9193,8887.799835064176,975.7359821428571,850.5964285714286,12.823035714285714,8.463806749459604,112,3,116674.17882568762,1.5140849213247431,-305.20016493582443,-3.319919122547854,5.0,-0.692,2.6785714285714284,Review,31
FOO-002,Food & Beverage,7340724.0600000005,7451868.856108517,9189,8883.932631829077,919.3486885245901,805.8572131147541,12.328524590163934,7.9454006949412115,122,4,111144.79610851686,1.5140849213247431,-305.06736817092315,-3.3199191225478653,5.0,-0.692,3.278688524590164,Review,32
MED-005,Medical,6845712.78,6949362.684959181,8185,7913.264619819457,972.2753333333334,844.3558095238095,13.157904761904762,8.81555005433395,105,1,103649.90495918039,1.5140849213247431,-271.73538018054296,-3.3199191225478653,5.0,-0.692,0.9523809523809524,Review,33
IND-002,Industrial,6569945.63,6669420.186123064,9750,9426.307885551583,782.1806349206349,679.6697619047619,13.101349206349207,8.757166504174117,126,2,99474.5561230639,1.5140849213247431,-323.69211444841676,-3.3199191225478653,5.0,-0.692,1.5873015873015872,Review,34
BIO-006,Biopharma Consumables,5910383.03,5999871.248249766,8308,8032.181119298723,828.58,719.2858095238095,13.189809523809524,8.850068792391802,105,2,89488.21824976616,1.5140849213247431,-275.8188807012766,-3.3199191225478653,5.0,-0.692,1.9047619047619049,Review,35
FOO-008,Food & Beverage,4751183.56,4823120.51386642,9304,8995.114724838146,592.63756302521,516.0667226890756,12.901008403361345,8.545942328289124,119,2,71936.95386642031,1.5140849213247431,-308.8852751618542,-3.3199191225478764,5.0,-0.692,1.680672268907563,Review,36
BIO-007,Biopharma Consumables,3662326.73,3717777.4667885755,10541,10191.04732529223,402.66,351.3536434108527,12.742790697674419,8.378948596484541,129,3,55450.73678857554,1.5140849213247431,-349.9526747077707,-3.3199191225478653,5.0,-0.692,2.3255813953488373,Review,37
FOO-003,Food & Beverage,3023835.0,3069618.4297807403,7822,7562.315926234306,445.57134615384615,391.0695192307693,12.2325,7.844304026873913,104,1,45783.42978074029,1.5140849213247431,-259.68407376569394,-3.3199191225478653,5.0,-0.692,0.9615384615384616,Review,38
IND-010,Industrial,2814323.52,2856934.768053616,8956,8658.668043384614,362.3036974789916,316.2335294117647,12.71655462184874,8.352365333975545,119,1,42611.24805361591,1.5140849213247431,-297.33195661538593,-3.319919122547854,5.0,-0.692,0.8403361344537815,Review,39
MED-001,Medical,1827553.51,1855224.222124051,8549,8265.180114213383,246.6138679245283,216.28198113207546,12.299528301886792,7.91435955220151,106,2,27670.71212405106,1.5140849213247431,-283.8198857866173,-3.3199191225478653,5.0,-0.692,1.8867924528301887,Review,40
